rank,sector,golden_handcuffs_index,quits_rate_latest_jun2026,quits_rate_12mo_avg,quits_rate_yoy_pp,median_tenure_years_2024,avg_weekly_earnings_usd_jul2026,avg_annual_earnings_usd,score_quits,score_tenure,score_earnings
1,Government,100.0,0.8,0.8,0.1,6.2,,,100.0,100.0,
2,Information,79.8,1.1,1.23,-0.4,4.2,2066.47,107456,86.0,51.2,100.0
3,Financial Activities,78.9,1.0,1.24,-0.2,4.7,1849.06,96151,85.7,63.4,85.2
4,Mining and Logging,76.0,2.3,2.17,0.2,5.7,1941.27,100946,55.4,87.8,91.5
5,Manufacturing,71.1,1.5,1.38,0.1,4.9,1489.55,77457,81.1,68.3,60.7
6,Construction,66.2,1.7,1.6,-0.1,4.2,1637.67,85159,73.9,51.2,70.8
7,Professional and Business Services,54.0,2.2,2.2,0.3,3.5,1676.46,87176,54.4,34.1,73.4
8,Education and Health Services,49.4,1.7,1.84,-0.2,3.6,1186.7,61708,66.1,36.6,40.0
9,"Trade, Transportation and Utilities",39.8,2.5,2.32,0.2,3.4,1091.2,56742,50.5,31.7,33.5
10,Leisure and Hospitality,0.0,4.2,3.87,-0.8,2.1,600.2,31210,0.0,0.0,0.0
